sysnet_id,label,index,class
n04251144,snorkel,801,snorkel
n04252077,snowmobile,802,snowmobile
n04252225,snowplow,803,snowplow
n04254120,soap dispenser,804,soap dispenser
n04254680,soccer ball,805,soccer ball
n04254777,sock,806,sock
n04258138,solar dish,807,solar dish
n04259630,sombrero,808,sombrero
n04263257,soup bowl,809,soup bowl
n04264628,space bar,810,space bar
n04265275,space heater,811,space heater
n04266014,space shuttle,812,space shuttle
n04270147,spatula,813,spatula
n04273569,speedboat,814,speedboat
n04275548,spider web,815,spider web
n04277352,spindle,816,spindle
n04285008,sports car,817,sports car
n04286575,spotlight,818,spotlight
n04296562,stage,819,stage
n04310018,steam locomotive,820,steam locomotive
n04311004,steel arch bridge,821,steel arch bridge
n04311174,steel drum,822,steel drum
n04317175,stethoscope,823,stethoscope
n04325704,stole,824,stole
n04326547,stone wall,825,stone wall
n04328186,stopwatch,826,stopwatch
n04330267,stove,827,stove
n04332243,strainer,828,strainer
n04335435,streetcar,829,streetcar
n04336792,stretcher,830,stretcher
n04344873,studio couch,831,studio couch
n04346328,stupa,832,stupa
n04347754,submarine,833,submarine
n04350905,suit,834,suit
n04355338,sundial,835,sundial
n04355933,sunglass,836,sunglass
n04356056,sunglasses,837,sunglasses
n04357314,sunscreen,838,sunscreen
n04366367,suspension bridge,839,suspension bridge
n04367480,swab,840,swab
n04370456,sweatshirt,841,sweatshirt
n04371430,swimming trunks,842,swimming trunks
n04371774,swing,843,swing
n04372370,switch,844,switch
n04376876,syringe,845,syringe
n04380533,table lamp,846,table lamp
n04389033,tank,847,tank
n04392985,tape player,848,tape player
n04398044,teapot,849,teapot
n04399382,teddy,850,teddy
n04404412,television,851,television
n04409515,tennis ball,852,tennis ball
n04417672,thatch,853,thatch
n04418357,theater curtain,854,theater curtain
n04423845,thimble,855,thimble
n04428191,thresher,856,thresher
n04429376,throne,857,throne
n04435653,tile roof,858,tile roof
n04442312,toaster,859,toaster
n04443257,tobacco shop,860,tobacco shop
n04447861,toilet seat,861,toilet seat
n04456115,torch,862,torch
n04458633,totem pole,863,totem pole
n04461696,tow truck,864,tow truck
n04462240,toyshop,865,toyshop
n04465501,tractor,866,tractor
n04467665,trailer truck,867,trailer truck
n04476259,tray,868,tray
n04479046,trench coat,869,trench coat
n04482393,tricycle,870,tricycle
n04483307,trimaran,871,trimaran
n04485082,tripod,872,tripod
n04486054,triumphal arch,873,triumphal arch
n04487081,trolleybus,874,trolleybus
n04487394,trombone,875,trombone
n04493381,tub,876,tub
n04501370,turnstile,877,turnstile
n04505470,typewriter keyboard,878,typewriter keyboard
n04507155,umbrella,879,umbrella
n04509417,unicycle,880,unicycle
n04515003,upright,881,upright
n04517823,vacuum,882,vacuum
n04522168,vase,883,vase
n04523525,vault,884,vault
n04525038,velvet,885,velvet
n04525305,vending machine,886,vending machine
n04532106,vestment,887,vestment
n04532670,viaduct,888,viaduct
n04536866,violin,889,violin
n04540053,volleyball,890,volleyball
n04542943,waffle iron,891,waffle iron
n04548280,wall clock,892,wall clock
n04548362,wallet,893,wallet
n04550184,wardrobe,894,wardrobe
n04552348,warplane,895,warplane
n04553703,washbasin,896,washbasin
n04554684,washer,897,washer
n04557648,water bottle,898,water bottle
n04560804,water jug,899,water jug
n04562935,water tower,900,water tower
n04579145,whiskey jug,901,whiskey jug
n04579432,whistle,902,whistle
n04584207,wig,903,wig
n04589890,window screen,904,window screen
n04590129,window shade,905,window shade
n04591157,Windsor tie,906,Windsor tie
n04591713,wine bottle,907,wine bottle
n04592741,wing,908,wing
n04596742,wok,909,wok
n04597913,wooden spoon,910,wooden spoon
n04599235,wool,911,wool
n04604644,worm fence,912,worm fence
n04606251,wreck,913,wreck
n04612504,yawl,914,yawl
n04613696,yurt,915,yurt
n06359193,web site,916,web site
n06596364,comic book,917,comic book
n06785654,crossword puzzle,918,crossword puzzle
n06794110,street sign,919,street sign
n06874185,traffic light,920,traffic light
n07248320,book jacket,921,book jacket
n07565083,menu,922,menu
n07579787,plate,923,plate
n07583066,guacamole,924,guacamole
n07584110,consomme,925,consomme
n07590611,hot pot,926,hot pot
n07613480,trifle,927,trifle
n07614500,ice cream,928,ice cream
n07615774,ice lolly,929,ice lolly
n07684084,French loaf,930,French loaf
n07693725,bagel,931,bagel
n07695742,pretzel,932,pretzel
n07697313,cheeseburger,933,cheeseburger
n07697537,hotdog,934,hotdog
n07711569,mashed potato,935,mashed potato
n07714571,head cabbage,936,head cabbage
n07714990,broccoli,937,broccoli
n07715103,cauliflower,938,cauliflower
n07716358,zucchini,939,zucchini
n07716906,spaghetti squash,940,spaghetti squash
n07717410,acorn squash,941,acorn squash
n07717556,butternut squash,942,butternut squash
n07718472,cucumber,943,cucumber
n07718747,artichoke,944,artichoke
n07720875,bell pepper,945,bell pepper
n07730033,cardoon,946,cardoon
n07734744,mushroom,947,mushroom
n07742313,Granny Smith,948,Granny Smith
n07745940,strawberry,949,strawberry
n07747607,orange,950,orange
n07749582,lemon,951,lemon
n07753113,fig,952,fig
n07753275,pineapple,953,pineapple
n07753592,banana,954,banana
n07754684,jackfruit,955,jackfruit
n07760859,custard apple,956,custard apple
n07768694,pomegranate,957,pomegranate
n07802026,hay,958,hay
n07831146,carbonara,959,carbonara
n07836838,chocolate sauce,960,chocolate sauce
n07860988,dough,961,dough
n07871810,meat loaf,962,meat loaf
n07873807,pizza,963,pizza
n07875152,potpie,964,potpie
n07880968,burrito,965,burrito
n07892512,red wine,966,red wine
n07920052,espresso,967,espresso
n07930864,cup,968,cup
n07932039,eggnog,969,eggnog
n09193705,alp,970,alp
n09229709,bubble,971,bubble
n09246464,cliff,972,cliff
n09256479,coral reef,973,coral reef
n09288635,geyser,974,geyser
n09332890,lakeside,975,lakeside
n09399592,promontory,976,promontory
n09421951,sandbar,977,sandbar
n09428293,seashore,978,seashore
n09468604,valley,979,valley
n09472597,volcano,980,volcano
n09835506,ballplayer,981,ballplayer
n10148035,groom,982,groom
n10565667,scuba diver,983,scuba diver
n11879895,rapeseed,984,rapeseed
n11939491,daisy,985,daisy
n12057211,yellow lady's slipper,986,yellow lady's slipper
n12144580,corn,987,corn
n12267677,acorn,988,acorn
n12620546,hip,989,hip
n12768682,buckeye,990,buckeye
n12985857,coral fungus,991,coral fungus
n12998815,agaric,992,agaric
n13037406,gyromitra,993,gyromitra
n13040303,stinkhorn,994,stinkhorn
n13044778,earthstar,995,earthstar
n13052670,hen-of-the-woods,996,hen-of-the-woods
n13054560,bolete,997,bolete
n13133613,ear,998,ear
n15075141,toilet tissue,999,toilet tissue
